company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Paid Time Off_predicted,Ability Telecommute_predicted,Mentorship_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Management Opportunities_predicted,Salary Satisfaction_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image,Paid Time Off_review,Ability Telecommute_review,Mentorship_review,Maternity Leave_review,Learning Opportunities_review,Management Opportunities_review,Salary Satisfaction_review
National Instruments,3.2,4.2,3.1,4.3,3.5,3.5,3.5,2.3,2.9,2.9,3.2,2.8,2.9,3.4,2.6,2.3,16,3.5,3.294736842,3.357894737,3.936842105,4.094736842,4.0905,3.168,2.3775,3.0569,2.8763,2.9133,2.5251,3.2,3.5,https://www.ni.com/careers/,/static/img/nationalinstruments.gif,,,,,,,
Netsync Network Solutions,2.1,3.3,2.7,3.7,2.3,2,1,1,1.7,1,3,3,2,2.3,2,1,,3.7,4.428571429,4,4.714285714,4.357142857,3.3227,2.9171,1.6538,2.4423,3.0311,2.4438,2.3971,2.1,3.7,https://www.netsyncnetwork.com/careers/,/static/img/netsync.jpg,,,,,,,
Nvidia,3,3.5,3,3.7,2.6,3.2,2.8,2.2,4,3.2,4,2.4,3,3,2.6,2.7,7,4.5,4.46,4.75,4.62,3.88,3.671,3.0551,2.4885,4.028,2.7594,3.0477,2.8748,3,4.5,https://www.nvidia.com/en-us/about-nvidia/careers/,/static/img/Nvidia.png,,,,,,,
Oracle,3,3.7,3.4,3.4,2.5,3.4,2.9,2.6,3.2,3,2.5,3,3.2,3.2,2.6,3,203,3.4,3.577777778,3.433333333,3.877777778,3.955555556,3.8815,3.4435,2.6389,3.3263,3.0883,3.2744,2.6669,3,3.4,https://www.oracle.com/corporate/careers/,/static/img/oracle.png,,,,,,,
PayPal,3.7,4.2,2.8,3.3,3.7,3.8,4.1,3.3,4.4,4,3.6,3.5,3.9,4,3.5,3.9,93,3.8,4.111111111,4.222222222,4.666666667,3.666666667,4.148,3.1248,3.0437,4.1779,3.438,3.6211,3.4028,3.7,3.8,https://www.paypal.com/us/webapps/mpp/jobs,/static/img/paypal.jpg,,,,,,,
Pivot3,2.6,4,4.3,4.3,2.3,3.3,1.7,1,3.7,2.3,2.3,1.7,1.7,2.3,3,1.3,,4,4.114754098,3.950819672,4.114754098,4.278688525,4.0519,3.8744,1.6031,3.7588,2.258,2.25,3.0444,2.6,4,https://pivot3.com/careers/,/static/img/Pivot3.png,,,,,,,
Plainview,,,,,,,,,,,,,,,,,,3.3,3.777777778,3.444444444,4,3.777777778,3.7702,2.7274,1.9897,3.4403,2.3585,2.9673,2.0446,Not Rated,3.3,https://careers-planview.icims.com/jobs/intro?hashed=-435623271,/static/img/planview.jpg,,,,,,,
Polycom,3.7,3.7,5,4.3,5,5,2,3,4,3.3,5,4,3,3,3,2.7,,3.3,2.875,3.555555556,3,3.222222222,3.7769,3.9076,2.8416,3.7994,3.6897,2.9923,2.9254,3.7,3.3,https://www.poly.com/us/en/about/careers,/static/img/poly.png,,,,,,,
Procore Technologies,4.4,5,4.1,4.6,4.9,4.8,4.7,4.1,4.4,3.9,4.2,4.6,4.2,4.3,4.3,3.6,94,4.4,4.222222222,4.444444444,5,4.444444444,4.7129,3.9047,3.5604,4.2851,4.0039,3.7156,3.8485,4.4,4.4,https://www.procore.com/jobs,/static/img/procore.jpg,,,,,,,
Protect America,,,,,,,,,,,,,,,,,0,3.9,2.714285714,3.428571429,3,3.857142857,3.9506,3.0578,2.4079,4.0444,2.8668,3.1737,2.7656,Not Rated,3.9,https://www.protectamerica.com/careers,/static/img/protectamerica.jpg,,,,,,,
Q2 Software,,,,,,,,,,,,,,,,,,3.7,2.333333333,2.777777778,2.777777778,2,3.0388,2.3511,1.7201,2.6616,2.6092,2.5515,2.2222,Not Rated,3.7,https://www.q2ebanking.com/careers,/static/img/Q2.png,,,,,,,
Qualcomm,2.3,3.7,2.3,2.5,2.2,2.4,3.6,1.7,2.9,2.3,1.8,2.8,1.5,1.7,2.5,1.3,15,3.8,3.571428571,3.714285714,3.857142857,3.285714286,3.7763,2.4565,2.0306,3.2128,2.8289,2.1214,2.5654,2.3,3.8,https://www.qualcomm.com/company/careers,/static/img/qualcomm.jpg,,,,,,,
Rackspace,3.4,4.3,3.5,3.6,3.9,3.8,4.2,3.1,3.5,3.4,3.3,3.5,3.1,3.1,2.6,2.3,45,3.3,3.483516484,3.2,3.912087912,3.934065934,4.1862,3.5196,2.8126,3.4199,3.2388,3.1202,2.5758,3.4,3.3,https://jobs.jobvite.com/rackspace/,/static/img/rackspace.png,,,,,,,
RetailMeNot,3.5,4.6,2.3,2.9,4.5,4.2,4.5,2.9,4.3,3.9,2.9,3.6,2.9,3.1,2.9,3.3,17,4.2,3.51,4.15,4.03,3.84,4.3585,2.6575,2.5941,4.0806,3.2697,2.8555,2.9216,3.5,4.2,https://www.retailmenot.com/corp/careers/,/static/img/retailmenot.png,,,,,,,
SailPoint,,,,,,,,,,,,,,,,,0,4.7,4.8,4.3,5,4.9,4.2759,3.5678,2.884,4.1992,3.1087,3.6626,4.1425,Not Rated,4.7,https://www.sailpoint.com/company/careers/,/static/img/sailpoint.jpg,,,,,,,
Salesforce,4,4.4,4.3,4.1,4.2,3.9,4.4,3.2,4.5,4.3,3.8,3.6,3.6,3.8,4,3.2,79,3.633333333,5,5,5,5,4.0835,3.92,2.8575,3.823,3.3818,3.62,3.7596,4,3.633333333,https://www.salesforce.com/company/careers/,/static/img/salesforce.png,,,,,,,
Samsung Austin Semiconductor,,,,,,,,,,,,,,,,,,3,3.25,3.5,2.5,2.625,3.1409,2.3434,2.0638,2.5382,3.1822,2.8171,2.736,Not Rated,3,https://www.samsung.com/us/sas/Career/JobOpportunity,/static/img/samsungaustinsemiconductor.png,,,,,,,
Signpost,,,,,,,,,,,,,,,,,,4.3,4.489130435,4.076086957,4.902173913,4.586956522,4.4978,3.5969,2.8633,4.0327,3.1948,3.4934,3.5939,Not Rated,4.3,https://www.signpost.com/all-jobs/,/static/img/signpost.png,,,,,,,
Silicon Labs,,,,,,,,,,,,,,,,,,4.5,4,4,4.111111111,3.888888889,3.8283,3.0497,2.5337,3.9266,2.9494,3.1266,3.4599,Not Rated,4.5,https://www.silabs.com/content/siliconlabs/en/about-us/careers.html,/static/img/SiliconLabs.png,,,,,,,
SolarWinds,2.2,2.3,1.6,1.4,3.1,2.9,3.3,1.1,1.7,2.6,1.9,2.3,2.1,2,3,1.9,7,3,2.875,3.25,2.625,2.75,2.8705,1.968,1.5475,2.2715,2.543,2.4224,2.833,2.2,3,https://solarwinds.jobs/,/static/img/solarwinds.png,,,,,,,
Sparefoot,4.5,4.8,4.2,4.4,5,5,4.3,3.7,4.9,4.5,4.9,3.9,4.6,4.8,4.7,3.1,9,4.2,4.814814815,5,5,4.555555556,4.616,3.8576,3.3293,4.6513,3.6731,4.0635,4.2445,4.5,4.2,https://about.sparefoot.com/jobs,/static/img/sparefoot.jpg,,,,,,,
Spiceworks,3.3,4.4,2.7,3.1,4.1,3.8,4.1,2.2,3.9,3.4,3.6,2.1,3.4,3.6,3.1,2.5,10,3.8,3.66,3.68,4.22,3.69,4.3127,2.8569,2.2427,3.8228,2.4212,3.4264,2.9814,3.3,3.8,https://www.spiceworks.com/jobs/,/static/img/spiceworks.png,,,,,,,
