company,Overall,Paid Time Off,Ability Telecommute,Flexible Hours,Social Environment,Coworkers,Wellness Initiatives,Mentorship,Maternity Leave,Family Growth Support,Employer Responsiveness,Learning Opportunities,Management Opportunities,Equal Opportunities,Salary Satisfaction,Female Representation in Leadership,Number of Ratings,overall_rating,Career Opportunities,Compensation and Benefits,Culture & Values,Work/Life Balance,Mentorship_predicted,Paid Time Off_predicted,Flexible Hours_predicted,Maternity Leave_predicted,Learning Opportunities_predicted,Salary Satisfaction_predicted,Management Opportunities_predicted,InHerSight_overall,GlassdoorOverall,company_website,logo_image
Procore Technologies,4.4,5,4.1,4.6,4.9,4.8,4.7,4.1,4.4,3.9,4.2,4.6,4.2,4.3,4.3,3.6,94,4.4,4.222222222,4.444444444,5,4.444444444,3.5494,4.6846,3.9974,4.2525,4.2574,3.7105,4.0705,4.4,4.4,https://www.procore.com/jobs,/static/img/procore.jpg
Protect America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.9,2.714285714,3.428571429,3,3.857142857,1.5601,3.0622,3.1547,2.6704,2.6011,2.2543,2.5819,Not Rated,3.9,https://www.protectamerica.com/careers,/static/img/protectamerica.jpg
Q2 Software,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.7,2.333333333,2.777777778,2.777777778,2,2.8587,4.3896,3.2817,4.0945,3.0186,3.0852,3.2104,Not Rated,3.7,https://www.q2ebanking.com/careers,/static/img/Q2.png
Rackspace,3.4,4.3,3.5,3.6,3.9,3.8,4.2,3.1,3.5,3.4,3.3,3.5,3.1,3.1,2.6,2.3,45,3.3,3.483516484,3.2,3.912087912,3.934065934,2.7962,4.1681,3.5241,3.4554,3.2519,2.6792,3.0256,3.4,3.3,https://jobs.jobvite.com/rackspace/,/static/img/rackspace.png
RetailMeNot,3.5,4.6,2.3,2.9,4.5,4.2,4.5,2.9,4.3,3.9,2.9,3.6,2.9,3.1,2.9,3.3,17,4.2,3.51,4.15,4.03,3.84,2.809,4.4122,3.1867,4.197,3.2493,3.0556,3.0394,3.5,4.2,https://www.retailmenot.com/corp/careers/,/static/img/retailmenot.png
SailPoint,,,,,,,,,,,,,,,,,0,4.7,4.8,4.3,5,4.9,3.2733,4.5558,3.6641,4.2156,4.1194,3.8286,4.0124,Not Rated,4.7,https://www.sailpoint.com/company/careers/,/static/img/sailpoint.jpg
Salesforce,4,4.4,4.3,4.1,4.2,3.9,4.4,3.2,4.5,4.3,3.8,3.6,3.6,3.8,4,3.2,79,3.633333333,5,5,5,5,2.5779,3.7139,3.528,3.7278,3.1297,3.3336,3.1158,4,3.633333333,https://www.salesforce.com/company/careers/,/static/img/salesforce.png
Signpost,,,,,,,,,,,,,,,,,,4.3,4.489130435,4.076086957,4.902173913,4.586956522,2.3025,4.0832,3.2551,3.6695,3.8624,2.9842,3.6629,Not Rated,4.3,https://www.signpost.com/all-jobs/,/static/img/signpost.png
SolarWinds,2.2,2.3,1.6,1.4,3.1,2.9,3.3,1.1,1.7,2.6,1.9,2.3,2.1,2,3,1.9,7,3,2.875,3.25,2.625,2.75,1.4194,2.9598,2.322,2.3399,2.3686,2.9304,2.432,2.2,3,https://solarwinds.jobs/,/static/img/solarwinds.png
Sparefoot,4.5,4.8,4.2,4.4,5,5,4.3,3.7,4.9,4.5,4.9,3.9,4.6,4.8,4.7,3.1,9,4.2,4.814814815,5,5,4.555555556,3.212,4.6579,3.9632,4.485,3.4494,4.0663,4.1767,4.5,4.2,https://about.sparefoot.com/jobs,/static/img/sparefoot.jpg
